person_id,id,name,character,role
3748,tm84618,Robert De Niro,Travis Bickle,ACTOR
14658,tm84618,Jodie Foster,Iris Steensma,ACTOR
7064,tm84618,Albert Brooks,Tom,ACTOR
3739,tm84618,Harvey Keitel,Matthew 'Sport' Higgins,ACTOR
48933,tm84618,Cybill Shepherd,Betsy,ACTOR
32267,tm84618,Peter Boyle,Wizard,ACTOR
519612,tm84618,Leonard Harris,Senator Charles Palantine,ACTOR
29068,tm84618,Diahnne Abbott,Concession Girl,ACTOR
519613,tm84618,Gino Ardito,Policeman at Rally,ACTOR
3308,tm84618,Martin Scorsese,Passenger Watching Silhouette,ACTOR
43791,tm84618,Murray Moston,Iris' Time Keeper,ACTOR
519614,tm84618,Richard Higgs,Secret Service Agent,ACTOR
519615,tm84618,Bill Minkin,Tom's Assistant (uncredited),ACTOR
82426,tm84618,Bob Maroff,Mafioso (uncredited),ACTOR
20935,tm84618,Victor Argo,"Melio, Delicatessen Owner",ACTOR
7753,tm84618,Joe Spinell,Personell Officer,ACTOR
43279,tm84618,Robinson Frank Adu,Angry Black Man (uncredited),ACTOR
519616,tm84618,Brenda Dickson,Soap Opera Woman (uncredited),ACTOR
8424,tm84618,Norman Matlock,Charlie T,ACTOR
20447,tm84618,Harry Northup,Doughboy,ACTOR
519618,tm84618,Harlan Cary Poe,Campaign Worker (uncredited),ACTOR
49567,tm84618,Steven Prince,Andy - Gun Salesman,ACTOR
15551,tm84618,Peter Savage,The John,ACTOR
475303,tm84618,Nicholas Shields,Palantine's Aide (uncredited),ACTOR
43540,tm84618,Ralph S. Singleton,T.V. Interviewer (uncredited),ACTOR
466061,tm84618,Annie Gagen,Campaign Worker (uncredited),ACTOR
212023,tm84618,Carson Grant,Political rallier (uncredited),ACTOR
5367,tm84618,Mary-Pat Green,Campaign Aide (uncredited),ACTOR
17421,tm84618,Debbi Morgan,Girl at Columbus Circle (uncredited),ACTOR
38141,tm84618,Don Stroud,Policeman (uncredited),ACTOR
811415,tm84618,Copper Cunningham,Hooker in Cab,ACTOR
1141852,tm84618,Garth Avery,Iris' friend,ACTOR
1662310,tm84618,Nat Grant,Stick-aup Man,ACTOR
1393387,tm84618,Billie Perkins,Iris' Friend (uncredited),ACTOR
9446,tm84618,Catherine Scorsese,Iris' Mother (newspaper article) (uncredited),ACTOR
9451,tm84618,Charles Scorsese,Iris' Father (newspaper article) (uncredited),ACTOR
3308,tm84618,Martin Scorsese,,DIRECTOR
10103,tm154986,Jon Voight,Ed Gentry,ACTOR
13020,tm154986,Burt Reynolds,Lewis Medlock,ACTOR
6639,tm154986,Ned Beatty,Bobby Trippe,ACTOR
11224,tm154986,Ronny Cox,Drew Ballinger,ACTOR
24509,tm154986,Ed Ramey,Old Man at the Gas-Station,ACTOR
80069,tm154986,Billy Redden,Lonnie - The Banjo Boy,ACTOR
84032,tm154986,Seamon Glass,First Griner,ACTOR
84031,tm154986,Randall Deal,Second Griner,ACTOR
7918,tm154986,Bill McKinney,Mountain Man,ACTOR
197405,tm154986,Herbert 'Cowboy' Coward,Toothless Man,ACTOR
618692,tm154986,Lewis Crone,First Deputy,ACTOR
618691,tm154986,Ken Keener,Second Deputy,ACTOR
498130,tm154986,Johnny Popwell,Ambulance Driver,ACTOR
618690,tm154986,John Fowler,Doctor,ACTOR
217036,tm154986,Kathy Rickman,Nurse,ACTOR
618689,tm154986,Louise Coldren,Mrs. Biddiford,ACTOR
618688,tm154986,Pete Ware,Taxi Driver,ACTOR
24510,tm154986,James Dickey,Sheriff Bullard,ACTOR
53804,tm154986,Macon McCalman,Deputy Queen,ACTOR
618687,tm154986,Hoyt Pollard,Boy at Gas Station,ACTOR
37993,tm154986,Belinda Beatty,Martha Gentry,ACTOR
100262,tm154986,Charley Boorman,Ed's Boy,ACTOR
17727,tm154986,John Boorman,,DIRECTOR
11472,tm127384,Graham Chapman,King Arthur / Voice of God / Middle Head / Hiccoughing Guard,ACTOR
1549,tm127384,John Cleese,Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Launcelot the Brave / Taunting French Guard / Tim the Enchanter,ACTOR
11474,tm127384,Eric Idle,Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard,ACTOR
11473,tm127384,Terry Gilliam,Patsy / Green Knight / Old Man from Scene 24 (Bridgekeeper) / Sir Bors / Animator / Gorilla Hand,ACTOR
11475,tm127384,Terry Jones,Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe,ACTOR
11476,tm127384,Michael Palin,First Swallow-Savvy Guard / Dennis / Peasant 2 / Right Head / Sir Galahad the Pure / Narrator / King of Swamp Castle / Brother Maynard's Brother / Leader of The Knights Who Say NI!,ACTOR
40898,tm127384,Connie Booth,The Witch,ACTOR
11478,tm127384,Carol Cleveland,Zoot / Dingo,ACTOR
11482,tm127384,Neil Innes,First Monk / Singing Minstrel / Page Crushed by the Rabbit / Peasant #4,ACTOR
40899,tm127384,Bee Duffell,Old Crone,ACTOR
11481,tm127384,John Young,Dead Body / Historian Frank,ACTOR
40900,tm127384,Rita Davies,Historian's Wife,ACTOR
40901,tm127384,Avril Stewart,Dr. Piglet,ACTOR
40902,tm127384,Sally Kinghorn,Dr. Winston,ACTOR
40903,tm127384,Mark Zycon,Prisoner,ACTOR
1275018,tm127384,Elspeth Cameron,Girl in Castle Anthrax,ACTOR
1462970,tm127384,Mitsuko Forstater,Girl in Castle Anthrax,ACTOR
589811,tm127384,Sandy Johnson,Knight of Ni / Villager at Witch Burning / Musician at Wedding / Monk / Knight in Battle,ACTOR
976111,tm127384,Sandy Rose,Girl in Castle Anthrax,ACTOR
1462971,tm127384,Romilly Squire,Musician at Wedding / Villager at Witch Burning,ACTOR
90024,tm127384,Joni Flynn,Girl in Castle Anthrax,ACTOR
1462991,tm127384,Alison Walker,Girl in Castle Anthrax,ACTOR
1462993,tm127384,Loraine Ward,Girl in Castle Anthrax,ACTOR
1462994,tm127384,Anna Lanski,Girl in Castle Anthrax,ACTOR
1462623,tm127384,Sally Coombe,Girl in Castle Anthrax,ACTOR
1462995,tm127384,Vivienne MacDonald,Girl in Castle Anthrax,ACTOR
1462975,tm127384,Yvonne Dick,Girl in Castle Anthrax,ACTOR
